match_id,home_position,home_played_matches,home_wins,home_draws,home_loses,home_goals_scored,home_goals_conceded,home_goal_difference,home_team_wins_in_last_5_matches,home_team_draws_in_last_5_matches,home_team_loses_in_last_5_matches,home_team_scored_goals_in_last_5_matches,home_team_conceded_goals_in_last_5_matches,away_position,away_played_matches,away_wins,away_draws,away_loses,away_goals_scored,away_goals_conceded,away_goal_difference,away_team_wins_in_last_5_matches,away_team_draws_in_last_5_matches,away_team_loses_in_last_5_matches,away_team_scored_goals_in_last_5_matches,away_team_conceded_goals_in_last_5_matches,result,home_odds,draw_odds,away_odds
18240,12,28,10,4,14,33,41,-8,1,2,2,4,7,3,28,14,8,6,41,29,12,3,2,0,12,6,1,5.090,3.980,1.670
18241,13,28,8,9,11,38,45,-7,1,2,2,6,8,9,28,12,5,11,35,33,2,3,2,0,8,3,1,1.940,3.480,4.110
18242,5,28,13,7,8,38,27,11,1,1,3,3,7,20,28,5,8,15,25,46,-21,1,2,2,6,6,1,2.010,3.140,4.320
18243,9,28,12,5,11,45,38,7,2,0,3,5,7,18,28,7,4,17,28,48,-20,2,1,2,6,9,0,1.520,4.450,6.000
18244,1,28,19,4,5,67,31,36,4,0,1,12,3,19,28,5,8,15,22,41,-19,1,2,2,4,5,0,1.160,8.060,17.420
18245,16,28,7,6,15,28,44,-16,1,0,4,6,12,10,28,9,11,8,30,24,6,2,1,2,7,5,1,3.280,3.040,2.410
18246,14,28,7,11,10,25,34,-9,2,0,3,6,9,17,28,5,11,12,22,35,-13,1,3,1,3,3,1,2.950,2.960,2.680
18247,11,28,8,11,9,35,39,-4,2,1,2,5,7,6,28,11,13,4,32,22,10,1,4,0,9,7,2,5.010,3.250,1.850
18248,15,28,8,8,12,29,39,-10,1,2,2,4,6,5,28,14,5,9,46,34,12,3,1,1,7,3,0,4.160,3.370,1.950
18249,2,28,17,8,3,52,20,32,2,1,2,8,6,8,28,11,10,7,39,40,-1,1,3,1,6,8,0,1.380,5.090,7.710
18250,9,29,12,6,11,37,35,2,2,3,0,8,4,7,29,13,5,11,46,38,8,2,0,3,4,6,2,3.120,3.190,2.430
18251,18,29,7,4,18,28,49,-21,1,1,3,5,10,20,29,5,8,16,22,43,-21,1,1,3,4,7,1,2.770,2.930,2.900
18252,3,29,14,9,6,42,30,12,3,2,0,11,5,1,29,20,4,5,69,31,38,4,0,1,12,2,1,3.400,3.570,2.130
18253,19,29,5,9,15,25,46,-21,1,2,2,4,4,11,29,10,5,14,34,42,-8,1,3,1,4,6,2,1.990,3.510,3.850
18254,10,29,9,12,8,32,26,6,2,2,1,9,6,14,29,8,10,11,40,47,-7,1,2,2,8,10,0,2.140,3.290,3.610
18255,5,29,13,8,8,38,27,11,1,2,2,2,5,16,29,7,7,15,30,46,-16,1,1,3,8,9,1,1.820,3.370,4.950
18256,4,29,12,13,4,37,22,15,2,3,0,12,5,15,29,7,12,10,25,34,-9,2,1,2,5,7,0,1.380,4.480,9.860
18257,17,29,5,12,12,22,35,-13,1,3,1,1,1,12,29,9,8,12,31,39,-8,2,2,1,6,5,0,1.940,3.250,4.480
18258,8,29,11,10,8,39,43,-4,1,2,2,4,9,13,29,8,11,10,35,44,-9,1,1,3,4,12,0,1.940,3.570,3.940
18259,6,29,14,5,10,46,36,10,2,1,2,4,5,2,29,18,8,3,55,20,35,3,0,2,9,4,2,4.160,4.140,1.770
18260,7,30,14,5,11,47,38,9,3,0,2,4,3,4,30,14,10,6,42,30,12,2,3,0,8,5,1,2.610,3.420,2.670
18261,19,30,5,9,16,23,44,-21,1,2,2,5,7,10,30,12,6,12,37,36,1,1,3,1,5,5,1,2.430,2.960,3.340
18262,11,30,11,5,14,37,43,-6,1,3,1,6,7,4,30,13,13,4,38,22,16,2,3,0,10,4,2,5.840,3.650,1.670
18263,15,30,7,12,11,25,35,-10,1,1,3,3,7,5,30,13,9,8,39,28,11,1,3,1,3,3,1,3.390,2.810,2.530
18264,2,30,20,5,5,69,31,38,3,1,1,7,2,10,30,10,12,8,33,26,7,3,2,0,9,4,0,1.330,5.350,9.420
18265,13,30,9,8,13,31,45,-14,1,2,2,4,10,12,30,8,11,11,35,46,-11,1,1,3,4,11,2,2.630,3.070,2.910
18266,7,30,14,5,11,47,38,9,1,1,3,4,7,16,30,6,12,12,28,35,-7,1,3,1,6,1,2,2.070,3.230,3.920
18267,2,30,19,8,3,57,21,36,4,0,1,11,4,18,30,7,5,18,29,50,-21,1,1,3,3,8,0,1.150,8.330,17.410
18268,17,30,7,8,15,31,47,-16,0,2,3,6,10,8,30,12,10,8,41,43,-2,2,2,1,6,6,0,2.820,3.360,2.510
18269,14,30,8,10,12,40,48,-8,1,1,3,5,8,20,30,5,9,16,26,49,-23,1,2,2,4,5,0,2.200,3.360,3.340
18270,4,31,14,11,6,44,32,12,1,4,0,7,5,15,31,7,13,11,26,36,-10,1,2,2,4,7,1,1.430,4.320,8.860
18271,10,31,10,12,9,33,27,6,2,2,1,8,5,18,31,7,5,19,29,52,-23,1,1,3,3,9,0,1.480,4.110,7.840
18272,16,31,7,12,12,29,35,-6,2,2,1,7,1,2,31,21,5,5,70,31,39,4,1,0,8,0,1,5.170,4.050,1.640
18273,11,31,9,11,11,36,46,-10,2,1,2,3,8,19,31,5,10,16,23,44,-21,1,2,2,4,6,0,2.350,2.980,3.480
18274,3,31,14,13,4,39,22,17,3,2,0,10,3,15,31,9,8,14,31,46,-15,1,1,3,3,10,0,1.330,4.760,11.770
18275,12,31,11,5,15,37,44,-7,1,3,1,6,5,13,31,9,10,12,41,48,-7,2,1,2,5,6,0,2.650,3.410,2.650
18276,6,31,14,6,11,49,40,9,3,1,1,6,4,8,31,12,10,9,41,44,-3,1,2,2,4,6,0,2.200,3.540,3.210
18277,10,31,12,7,12,37,36,1,1,3,1,5,5,17,31,8,8,15,32,47,-15,1,2,2,6,8,2,2.430,2.970,3.310
18278,20,31,5,9,17,26,50,-24,1,1,3,3,5,2,31,20,8,3,59,21,38,4,0,1,11,4,2,7.040,4.790,1.430
